doc_name,Annotation_1,Annotation_2,Annot_1_label,Annot_1_char,Annot_2_label,Annot_2_char,Overall_start_char,Exact_Match?,Duplicate_Matches?,Overlap?,Matching_label?,A1_Negation,A2_Negation,A1_Temporality,A2_Temporality,context,Negation_Match?,Temporality_Match?
Example_2,,painful breathing,,,Pain,7-24,7,False,False,False,False,,Affirmed,,Present,...Pt has painful breathing. Stops eating after lunch to avoid reflux.  HPI: ...,False,False
Example_2,reflux,reflux,Gastrointestinal_and_Genitourinary,60-66,Gastrointestinal_and_Genitourinary,60-66,60,True,False,True,True,Affirmed,Negated,Past,Hypothetical,...nful breathing. Stops eating after lunch to avoid reflux.  HPI: [x] GERD [] back pain   ...,False,False
Example_2,GERD,GERD,Gastrointestinal_and_Genitourinary,78-82,Gastrointestinal_and_Genitourinary,78-82,78,True,False,True,True,Affirmed,Affirmed,Present,Present,...ops eating after lunch to avoid reflux.  HPI: [x] GERD [] back pain   ...,True,True
Example_2,back pain,back || pain,Pain,86-95,Anatomical_Location || Pain,86-90 || 91-95,86,False,True,True,False,Negated,NA || Negated,Present,NA || Hypothetical,...ng after lunch to avoid reflux.  HPI: [x] GERD [] back pain   ...,False,False
Example_3,,Eyes,,,Anatomical_Location,20-24,20,False,False,False,False,,NA,,NA,"...Review of systems:  Eyes: no pain, discharge, or dryness Back pain: Has lo...",False,False
Example_3,pain,pain,Pain,29-33,Pain,29-33,29,True,False,True,True,Affirmed,Negated,Past,Present,"...Review of systems:  Eyes: no pain, discharge, or dryness Back pain: Has low grade p...",False,False
Example_3,,Back,,,Anatomical_Location,57-61,57,False,False,False,False,,NA,,NA,"...of systems:  Eyes: no pain, discharge, or dryness Back pain: Has low grade pain w/ walking Gastrointesti...",False,False
Example_3,,pain,,,Pain,62-66,62,False,False,False,False,,Affirmed,,Hypothetical,"...stems:  Eyes: no pain, discharge, or dryness Back pain: Has low grade pain w/ walking Gastrointestinal: ...",False,False
Example_3,pain,pain,Pain,82-86,Pain,82-86,82,True,False,True,True,Affirmed,Affirmed,Present,Past,"...n, discharge, or dryness Back pain: Has low grade pain w/ walking Gastrointestinal: no nausea, vomiting,...",True,False
Example_3,,Gastrointestinal,,,Gastrointestinal_and_Genitourinary,98-114,98,False,False,False,False,,Affirmed,,Hypothetical,"... dryness Back pain: Has low grade pain w/ walking Gastrointestinal: no nausea, vomiting, blood...",False,False
Example_3,nausea,nausea,Gastrointestinal_and_Genitourinary,119-125,Gastrointestinal_and_Genitourinary,119-125,119,True,False,True,True,Negated,Negated,Present,Present,"...as low grade pain w/ walking Gastrointestinal: no nausea, vomiting, blood...",True,True
Example_3,vomiting,,Gastrointestinal_and_Genitourinary,127-135,,,127,False,False,False,False,Negated,,Present,,"...rade pain w/ walking Gastrointestinal: no nausea, vomiting, blood...",False,False
Example_1,back,back,Anatomical_Location,19-23,Anatomical_Location,19-23,19,True,False,True,True,Affirmed,NA,Present,NA,...Pt is experiencing back pain. They also report having a constant headache...,False,False
Example_1,pain,pain,Pain,24-28,Pain,24-28,24,True,False,True,True,Affirmed,Affirmed,Past,Present,...Pt is experiencing back pain. They also report having a constant headache in m...,True,False
Example_1,,headache,,,Pain,65-73,65,False,False,False,False,,Affirmed,,Present,...ing back pain. They also report having a constant headache in mornings....,False,False
